id:int	labels:label	type	flags:string_array	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
1439	AST	AST_IF_ELEM		28		0	1397	view	""			
1440	AST	AST_BINARY_OP	BINARY_IS_EQUAL	28		0	1397	view	""			
1441	AST	AST_VAR		28		0	1397	view	""			
1442	AST	string		28	"file_name"	0	1397	view	""			
1443	AST	AST_CONST		28		1	1397	view	""			
1444	AST	AST_NAME	NAME_NOT_FQ	28		0	1397	view	""			
1445	AST	string		28	"null"	0	1397	view	""			
1446	AST	AST_STMT_LIST		29		1	1397	view	""			
1447	AST	AST_EXIT		30		0	1397	view	""			
1448	AST	string		30	"Xcms: No input template"	0	1397	view	""			
